Journal Title,Publisher,ISSN,ISSN Online,Year Inception,Web Address,Field of Research,ABDC Rating 
Applied Cognitive Psychology,"John Wiley & Sons, Inc.",0888-4080	,1099-0720	,1987	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-ACP.html,1503	,B 
Applied Econometrics,"Moscow University for Industry and Finance Synergy"" """,1993-7601	,2410-6445	,2006	,http://appliedeconometrics.ru/e/about/,1403	,C 
Applied Econometrics and International Development,Euro-American Association of Economic Development Studies,1578-4487	,	,2001	,http://www.usc.es/,1403	,C 
Applied Economic Perspective and Policy,Oxford University Press ,2040-5790	,2040-5804	,1979	,http://aepp.oxfordjournals.org/,1402	,B 
Applied Economic Perspectives and Policy (AEPP) (formerly Review of Agricultural Economics),,2040-5804	,2040-5970	,1979	,http://aepp.oxfordjournals.org/,1402	,B 
Applied Economics,Taylor & Francis Online,0003-6846	,1466-4283	,1969	,http://www.tandfonline.com/raec,1402	,A 
Applied Economics Letters,Taylor & Francis Online,1350-4851	,1466-4291	,1994	,http://www.tandfonline.com/rael,1402	,B 
Applied Economics Quarterly,Duncker & Humblot Gmbh,1611-6607	,1865-5122	,1954	,http://aeq.diw.de/aeq/,1402	,B 
Applied Finance Letters,Auckland University of Technology,2253-5799	,2253-5802	,2012	,http://www.acfr.aut.ac.nz,1502	,C 
Applied Financial Economics,Taylor & Francis Online,0960-3107	,1466-4305	,1991	,http://www.tandfonline.com/rafe,1502	,B 
Applied Financial Economics Letters,Taylor & Francis Online,1744-6546	,1744-6554	,2005	,http://www.tandfonline.com/rafl,1502	,C 
Applied Health Economics and Health Policy,Springer International Publishing,1175-5652	,1179-1896	,2002	,http://link.springer.com/journal/40258,1402	,C 
Applied Mathematical Finance,Taylor & Francis Online,1350-486X	,1466-4313	,1994	,http://www.tandfonline.com/ramf,1502	,B 
Applied Ontology,IOS Press,1570-5838	,1875-8533	,2005	,http://www.iospress.nl/journal/applied-ontology/,806	,A 
Applied Psychological Measurement,Sage Publications,0146-6216	,1552-3497	,1976	,http://apm.sagepub.com/,1503	,B 
Applied Psychology: An International Review,"John Wiley & Sons, Inc.",0269-994X	,1464-0597	,1951	,http://www.wiley.com/,1503	,A 
Applied Soft Computing,Elsevier ,1568-4946	,	,2001	,http://www.journals.elsevier.com/applied-soft-computing/,806	,C 
Applied Stochastic Models in Business and Industry,"John Wiley & Sons, Inc.",1524-1904	,1526-4025	,1985	,http://au.wiley.com/WileyCDA/WileyTitle/productCd-ASMB.html,104	,B 
Appraisal Journal,American Institute of Real Estate Appraisers,0003-7087	,	,1932	,http://www.abe.pl/en/journal/621/appraisal-journal,1504	,B 
Aquaculture Economics and Management,Taylor & Francis Online,1365-7305	,1551-8663	,1997	,http://www.tandfonline.com/uaqm,1402	,C 
Arizona Law Review,"University of Arizona, College of Law ",0004-153X	,	,1959	,https://arizona-law-review.scholasticahq.com/,180105	,B 
Arkansas Business and Economic Review,"University of Arkansas, Bureau of Business and Eco",0004-1742	,	,1933	,,1402	,C 
Art Law and Accounting Reporter,Volunteer Lawyers and Accountants for the Arts,0886-1013	,	,1982	,http://talarts.org/about,1501	,C 
Artha-Vikas: a journal of economic development,Sardar Patel University,0004-3567	,	,1965	,,1402	,C 
Arts and the Market (formerly Arts Marketing),Emerald Group Publishing,2044-2084	,2056-4945	,	,http://www.emeraldinsight.com/journal/aam,1505	,C 
ASEAN Journal on Hospitality and Tourism,Institut Teknologi Bandung,1412-2073	,	,2002	,http://www.frescoverde.com/,1506	,C 
Asia Europe Journal: intercultural studies in the social sciences and humanities,Springer International Publishing,1610-2932	,1612-1031	,2003	,http://www.springerlink.com/,1503	,B 
Asia Pacific Business Review,Taylor & Francis Online,1360-2381	,1743-792X	,1994	,http://www.tandfonline.com/fapb,1503	,B 
Asia Pacific Development Journal,United Nations ,1020-1246	,	,1956	,https://ideas.repec.org/s/unt/jnapdj.html,1499	,B 
Asia Pacific Economic Papers,The Australia-Japan Research Centre,1834-8971	,	,1973	,http://www.crawford.anu.edu.au/,1402	,C 
Asia Pacific Journal of Arts and Cultural Management,The University of Melbourne,1449-1184	,	,2003	,http://apjacm.arts.unimelb.edu.au/,1504	,C 
Asia Pacific Journal of Economics and Business,Taylor & Francis Online,1326-8481	,	,1997	,http://www.tandfonline.com/toc/raae20/current,1402	,B 
Asia Pacific Journal of Finance,"John Wiley & Sons, Inc.",0219-1466	,	,1998	,,1502	,B 
Asia Pacific Journal of Financial Studies,"John Wiley & Sons, Inc.",1226-1165	,	,1980	,http://www.apjfs.org/,1502	,C 
Asia Pacific Journal of Health Management,Australian College of Health Service Executives,1833-3818	,1833-3818	,2006	,https://search.informit.com.au/browseJournalTitle;res=IELHEA;issn=1833-3818,1503	,C 
Asia Pacific Journal of Management,Springer International Publishing,0217-4561	,1572-9958	,1983	,http://springerlink.metapress.com/,1503	,A 
Asia Pacific Journal of Marketing and Logistics,Emerald Group Publishing,1355-5855	,1758-4248	,1989	,http://www.emeraldinsight.com/journal/apjml,1505	,B 
Asia Pacific Journal of Taxation,Hong Kong Polytechnic University,1027-5592	,	,1997	,http://www.af.polyu.edu.hk/,180125	,C 
Asia Pacific Journal of Tourism Research,Taylor & Francis Online,1094-1665	,1741-6507	,1996	,http://www.tandfonline.com/rapt,1506	,B 
Asia Pacific Law Review,LexisNexis,1019-2557	,1875-8444	,1992	,http://www.lexisnexis.com/hk/aplr/,180105	,C 
